lnop,00000000001
nop,01000000001
stop,00000000000
ilh,010000011
il,010000010
ah,00011001000
ah,00011101
aw,00011000000
awi,00011100
sfh,00001001000
sfhi,00001101
sfw,00001000000
sfwi,00001100
cg,00011000010
bg,00001000010
addx,01101000000
sfx",01101000001
clz,01010100101
and,00011000001
andbi,00010110
andhi,00010101
andi,00010100
or,00001000001
orbi,00000110
orhi,00000101
ori,00000100
xor,01001000001
xorbi,01000110
xorhi,01000101
xori,01000100
ceqh,01111001000ceqhi,01111101
ceq,01111000000ceqi,01111100
cgth,01001001000
cgthi,01001101
cgt,01001000000
cgti,01001100
shlh,00001011111
shlhi,00001111111
shl,00001011011shli,00001111011
roth,00001011100
rothi,00001111100rot,00001011000
roti,00001111000
mpy,01111000100
mpyu,01111001100
mpyi,01110100
mpyui,01110101
mpya,1100
dfa,01011001100
dfs,01011001101dfm,01011001110
dfma,01101011100
dfms,01101011101
dfceq,01111000011
dfcgt,01011000011
cntb,01010110100
avgb,00011010011
absdb,00001010011
sumb,01001010011
shlqbi,00111011011
shlqbii,00111111011
shlqby,00111011111shlqbyi,00111111111
lqd,00110100
stqd,00100100
lqa,001100001
stqa,001000001
miss,00000000011
brz,001000000
brhz,001000100
brhnz,001000110
brnz,001000010
bra,001100000brasl",001100010
bi,00110101000
bisl,00110101001